address,Private Service Line Material,Public Service Line Material
7951 S WESTERN AVE,SUSPECTED LEAD,SUSPECTED LEAD
8556 58 S ASHLAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
9222 S HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
9232 S HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
9232 S HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
9242 S HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
9236 S HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
9242 S HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
9246 S HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
9155 S LAFLIN ST,SUSPECTED LEAD,SUSPECTED LEAD
9146 60 S GREEN ST,SUSPECTED LEAD,SUSPECTED LEAD
9439 43 S ASHLAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
9439 43 S ASHLAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
8523 S RACINE AVE,SUSPECTED LEAD,SUSPECTED LEAD
8525 S RACINE AVE,SUSPECTED LEAD,SUSPECTED LEAD
8533 S RACINE AVE,SUSPECTED LEAD,SUSPECTED LEAD
8533 S RACINE AVE,SUSPECTED LEAD,SUSPECTED LEAD
8537 S RACINE AVE,SUSPECTED LEAD,SUSPECTED LEAD
1034 W 87TH ST,SUSPECTED LEAD,SUSPECTED LEAD
8523 S RACINE AVE,SUSPECTED LEAD,SUSPECTED LEAD
8525 S RACINE AVE,SUSPECTED LEAD,SUSPECTED LEAD
8523 S RACINE AVE,SUSPECTED LEAD,SUSPECTED LEAD
8241 S ASHLAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
8241 S ASHLAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
8234 38 S ASHLAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
8234 38 S ASHLAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
7749 S CARPENTER ST,SUSPECTED LEAD,SUSPECTED LEAD
7621 S HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
7621 S HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
7605 S HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
7605 S HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
9104 S DR MARTIN LUTHER KING JR DR,SUSPECTED LEAD,SUSPECTED LEAD
9104 S DR MARTIN LUTHER KING JR DR,SUSPECTED LEAD,SUSPECTED LEAD
353 E 91ST ST,SUSPECTED LEAD,SUSPECTED LEAD
8600 S CHAMPLAIN AVE,SUSPECTED LEAD,SUSPECTED LEAD
9106 S DR MARTIN LUTHER KING JR DR,SUSPECTED LEAD,SUSPECTED LEAD
1438 54 E 79TH ST,SUSPECTED LEAD,SUSPECTED LEAD
7500 02 S COTTAGE GROVE AVE,SUSPECTED LEAD,SUSPECTED LEAD
7500 02 S COTTAGE GROVE AVE,SUSPECTED LEAD,SUSPECTED LEAD
9234 S MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
9234 S MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
8600 S CHAMPLAIN AVE,SUSPECTED LEAD,SUSPECTED LEAD
7830 46 S COTTAGE GROVE AVE,SUSPECTED LEAD,SUSPECTED LEAD
7830 46 S COTTAGE GROVE AVE,SUSPECTED LEAD,SUSPECTED LEAD
9147 S COTTAGE GROVE AVE,SUSPECTED LEAD,SUSPECTED LEAD
9147 S COTTAGE GROVE AVE,SUSPECTED LEAD,SUSPECTED LEAD
7306 S DORCHESTER AVE,SUSPECTED LEAD,SUSPECTED LEAD
7308 S DORCHESTER AVE,SUSPECTED LEAD,SUSPECTED LEAD
7308 S DORCHESTER AVE,SUSPECTED LEAD,SUSPECTED LEAD
8250 S ELLIS AVE,SUSPECTED LEAD,SUSPECTED LEAD
8250 S ELLIS AVE,SUSPECTED LEAD,SUSPECTED LEAD
8250 S ELLIS AVE,SUSPECTED LEAD,SUSPECTED LEAD
7741 S DOBSON AVE,SUSPECTED LEAD,SUSPECTED LEAD
9143 S COTTAGE GROVE AVE,SUSPECTED LEAD,SUSPECTED LEAD
9147 S COTTAGE GROVE AVE,SUSPECTED LEAD,SUSPECTED LEAD
1301 E 75TH ST,SUSPECTED LEAD,SUSPECTED LEAD
1134 E 81ST ST,SUSPECTED LEAD,SUSPECTED LEAD
1134 E 81ST ST,SUSPECTED LEAD,SUSPECTED LEAD
1140 E 81ST ST,SUSPECTED LEAD,SUSPECTED LEAD
1140 E 81ST ST,SUSPECTED LEAD,SUSPECTED LEAD
1301 E 75TH ST,SUSPECTED LEAD,SUSPECTED LEAD
1301 E 75TH ST,SUSPECTED LEAD,SUSPECTED LEAD
1301 E 75TH ST,SUSPECTED LEAD,SUSPECTED LEAD
1140 E 81ST ST,SUSPECTED LEAD,SUSPECTED LEAD
1140 E 81ST ST,SUSPECTED LEAD,SUSPECTED LEAD
1015 E 87TH ST,SUSPECTED LEAD,SUSPECTED LEAD
1015 E 87TH ST,SUSPECTED LEAD,SUSPECTED LEAD
1340 52 E 75TH ST,SUSPECTED LEAD,SUSPECTED LEAD
9108 10 S COTTAGE GROVE AVE,SUSPECTED LEAD,SUSPECTED LEAD
9108 10 S COTTAGE GROVE AVE,SUSPECTED LEAD,SUSPECTED LEAD
1438 54 E 79TH ST,SUSPECTED LEAD,SUSPECTED LEAD
8754 S DOBSON AVE,SUSPECTED LEAD,SUSPECTED LEAD
7675 79 S SOUTH CHICAGO AVE,SUSPECTED LEAD,SUSPECTED LEAD
8754 S DOBSON AVE,SUSPECTED LEAD,SUSPECTED LEAD
10447 S HALE AVE,SUSPECTED LEAD,SUSPECTED LEAD
10352 S WALDEN PKWY,SUSPECTED LEAD,SUSPECTED LEAD
9931 S SEELEY AVE,SUSPECTED LEAD,SUSPECTED LEAD
10437 S WESTERN AVE,SUSPECTED LEAD,SUSPECTED LEAD
10437 S WESTERN AVE,SUSPECTED LEAD,SUSPECTED LEAD
11209 S LOTHAIR AVE,SUSPECTED LEAD,SUSPECTED LEAD
2315 W 95TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2315 W 95TH ST,SUSPECTED LEAD,SUSPECTED LEAD
10334 36 S HOYNE AVE,SUSPECTED LEAD,SUSPECTED LEAD
10334 36 S HOYNE AVE,SUSPECTED LEAD,SUSPECTED LEAD
9931 S SEELEY AVE,SUSPECTED LEAD,SUSPECTED LEAD
11209 S LOTHAIR AVE,SUSPECTED LEAD,SUSPECTED LEAD
