address,Private Service Line Material,Public Service Line Material
7935 45 S EXCHANGE AVE,NOT LEAD,NOT LEAD
8237 S SOUTH SHORE DR,NOT LEAD,NOT LEAD
2320 E 93RD ST,NOT LEAD,NOT LEAD
2320 E 93RD ST,NOT LEAD,NOT LEAD
2340 E 99TH ST,NOT LEAD,NOT LEAD
2459 E 82ND ST,NOT LEAD,NOT LEAD
9401 S STONY ISLAND AVE,NOT LEAD,NOT LEAD
9401 S STONY ISLAND AVE,NOT LEAD,NOT LEAD
1710 E 93RD ST,NOT LEAD,NOT LEAD
1710 E 93RD ST,NOT LEAD,NOT LEAD
2835 E 106TH ST,NOT LEAD,NOT LEAD
2701 E 114TH ST,NOT LEAD,NOT LEAD
3535 E 114TH ST,NOT LEAD,NOT LEAD
10459 S MUSKEGON AVE,NOT LEAD,NOT LEAD
11400 S GREEN BAY AVE,NOT LEAD,NOT LEAD
11400 S GREEN BAY AVE,NOT LEAD,NOT LEAD
11833 S BURLEY AVE,NOT LEAD,NOT LEAD
11833 S BURLEY AVE,NOT LEAD,NOT LEAD
10459 S MUSKEGON AVE,NOT LEAD,NOT LEAD
10900 S DOTY AVE,NOT LEAD,NOT LEAD
11551 S BURLEY AVE,NOT LEAD,NOT LEAD
11551 S BURLEY AVE,NOT LEAD,NOT LEAD
2711 E 112TH ST,NOT LEAD,NOT LEAD
2711 E 112TH ST,NOT LEAD,NOT LEAD
3450 E 100TH ST,NOT LEAD,NOT LEAD
3450 E 100TH ST,NOT LEAD,NOT LEAD
2835 E 106TH ST,NOT LEAD,NOT LEAD
10900 S DOTY AVE,NOT LEAD,NOT LEAD
10900 S DOTY AVE,NOT LEAD,NOT LEAD
2532 E 110TH ST,NOT LEAD,NOT LEAD
2532 E 110TH ST,NOT LEAD,NOT LEAD
8700 60 S BURLEY AVE,NOT LEAD,NOT LEAD
8700 60 S BURLEY AVE,NOT LEAD,NOT LEAD
9345 51 S SOUTH CHICAGO AVE,NOT LEAD,NOT LEAD
2701 E 114TH ST,NOT LEAD,NOT LEAD
3650 E 96TH ST,NOT LEAD,NOT LEAD
3650 E 96TH ST,NOT LEAD,NOT LEAD
10740 S CALHOUN AVE,NOT LEAD,NOT LEAD
10740 S CALHOUN AVE,NOT LEAD,NOT LEAD
3535 E 114TH ST,NOT LEAD,NOT LEAD
9407 S KREITER AVE UNIT M.F,NOT LEAD,NOT LEAD
9407 S KREITER AVE UNIT L.F,NOT LEAD,NOT LEAD
9407 S KREITER AVE UNIT M.F,NOT LEAD,NOT LEAD
9407 S KREITER AVE UNIT L.F,NOT LEAD,NOT LEAD
1425 W FLOURNOY ST,NOT LEAD,NOT LEAD
335 39 S ASHLAND AVE,NOT LEAD,NOT LEAD
1539 W MONROE ST,NOT LEAD,NOT LEAD
1539 W MONROE ST,NOT LEAD,NOT LEAD
850 W JACKSON BLVD,NOT LEAD,NOT LEAD
850 W JACKSON BLVD,NOT LEAD,NOT LEAD
335 39 S ASHLAND AVE,NOT LEAD,NOT LEAD
600 10 W VAN BUREN ST,NOT LEAD,NOT LEAD
800 S WELLS ST,NOT LEAD,NOT LEAD
800 S WELLS ST,NOT LEAD,NOT LEAD
651 S WELLS ST,NOT LEAD,NOT LEAD
651 S WELLS ST,NOT LEAD,NOT LEAD
900 20 W MADISON ST,NOT LEAD,NOT LEAD
701 S WELLS ST,NOT LEAD,NOT LEAD
701 S WELLS ST,NOT LEAD,NOT LEAD
611 S WELLS ST,NOT LEAD,NOT LEAD
611 S WELLS ST,NOT LEAD,NOT LEAD
235 W VAN BUREN ST,NOT LEAD,NOT LEAD
235 W VAN BUREN ST,NOT LEAD,NOT LEAD
801 51 S FINANCIAL PL,NOT LEAD,NOT LEAD
801 51 S FINANCIAL PL,NOT LEAD,NOT LEAD
1035 W VAN BUREN ST,NOT LEAD,NOT LEAD
1035 W VAN BUREN ST,NOT LEAD,NOT LEAD
205 S PEORIA ST,NOT LEAD,NOT LEAD
205 S PEORIA ST,NOT LEAD,NOT LEAD
1125 W VAN BUREN ST,NOT LEAD,NOT LEAD
1125 W VAN BUREN ST,NOT LEAD,NOT LEAD
1133 W TAYLOR ST,NOT LEAD,NOT LEAD
123 25 S GREEN ST,NOT LEAD,NOT LEAD
123 25 S GREEN ST,NOT LEAD,NOT LEAD
1101 W JACKSON BLVD,NOT LEAD,NOT LEAD
1101 W JACKSON BLVD,NOT LEAD,NOT LEAD
808 W VAN BUREN ST,NOT LEAD,NOT LEAD
808 W VAN BUREN ST,NOT LEAD,NOT LEAD
105 N MAY ST,NOT LEAD,NOT LEAD
105 N MAY ST,NOT LEAD,NOT LEAD
939 W WASHINGTON BLVD,NOT LEAD,NOT LEAD
939 W WASHINGTON BLVD,NOT LEAD,NOT LEAD
845 W MADISON ST,NOT LEAD,NOT LEAD
845 W MADISON ST,NOT LEAD,NOT LEAD
1044 W VAN BUREN ST,NOT LEAD,NOT LEAD
1044 W VAN BUREN ST,NOT LEAD,NOT LEAD
1240 W MONROE ST,NOT LEAD,NOT LEAD
1240 W MONROE ST,NOT LEAD,NOT LEAD
836 S MILLER ST,NOT LEAD,NOT LEAD
1425 W FLOURNOY ST,NOT LEAD,NOT LEAD
14 N PEORIA ST,NOT LEAD,NOT LEAD
820 W JACKSON BLVD,NOT LEAD,NOT LEAD
801 S WELLS ST,NOT LEAD,NOT LEAD
127 39 S PEORIA ST,NOT LEAD,NOT LEAD
127 39 S PEORIA ST,NOT LEAD,NOT LEAD
400 S GREEN ST,NOT LEAD,NOT LEAD
400 S GREEN ST,NOT LEAD,NOT LEAD
820 W JACKSON BLVD,NOT LEAD,NOT LEAD
411 S SANGAMON ST,NOT LEAD,NOT LEAD
411 S SANGAMON ST,NOT LEAD,NOT LEAD
331 S PEORIA ST,NOT LEAD,NOT LEAD
331 S PEORIA ST,NOT LEAD,NOT LEAD
750 S HALSTED ST,NOT LEAD,NOT LEAD
750 S HALSTED ST,NOT LEAD,NOT LEAD
821 S MORGAN ST,NOT LEAD,NOT LEAD
801 S WELLS ST,NOT LEAD,NOT LEAD
1033 W VERNON PARK PL,NOT LEAD,NOT LEAD
1033 W VERNON PARK PL,NOT LEAD,NOT LEAD
1033 W VERNON PARK PL,NOT LEAD,NOT LEAD
1133 W TAYLOR ST,NOT LEAD,NOT LEAD
836 S MILLER ST,NOT LEAD,NOT LEAD
353 N DESPLAINES ST,NOT LEAD,NOT LEAD
560 70 W LAKE ST,NOT LEAD,NOT LEAD
560 70 W LAKE ST,NOT LEAD,NOT LEAD
125 S JEFFERSON ST,NOT LEAD,NOT LEAD
600 12 W WASHINGTON BLVD,NOT LEAD,NOT LEAD
545 67 W MADISON ST,NOT LEAD,NOT LEAD
545 67 W MADISON ST,NOT LEAD,NOT LEAD
600 10 W MONROE ST,NOT LEAD,NOT LEAD
600 10 W MONROE ST,NOT LEAD,NOT LEAD
365 N HALSTED ST,NOT LEAD,NOT LEAD
365 N HALSTED ST,NOT LEAD,NOT LEAD
330 N JEFFERSON ST,NOT LEAD,NOT LEAD
500 W MONROE ST,NOT LEAD,NOT LEAD
500 W MONROE ST,NOT LEAD,NOT LEAD
330 N JEFFERSON ST,NOT LEAD,NOT LEAD
125 S JEFFERSON ST,NOT LEAD,NOT LEAD
125 S JEFFERSON ST,NOT LEAD,NOT LEAD
540 W MADISON ST,NOT LEAD,NOT LEAD
540 W MADISON ST,NOT LEAD,NOT LEAD
353 N DESPLAINES ST,NOT LEAD,NOT LEAD
365 N JEFFERSON ST,NOT LEAD,NOT LEAD
365 N JEFFERSON ST,NOT LEAD,NOT LEAD
765 W ADAMS ST,NOT LEAD,NOT LEAD
765 W ADAMS ST,NOT LEAD,NOT LEAD
1 S HALSTED ST,NOT LEAD,NOT LEAD
354 N UNION AVE,NOT LEAD,NOT LEAD
354 N UNION AVE,NOT LEAD,NOT LEAD
1 S HALSTED ST,NOT LEAD,NOT LEAD
616 W FULTON ST,NOT LEAD,NOT LEAD
565 W ADAMS ST,NOT LEAD,NOT LEAD
565 W ADAMS ST,NOT LEAD,NOT LEAD
555 W ADAMS ST,NOT LEAD,NOT LEAD
555 W ADAMS ST,NOT LEAD,NOT LEAD
600 W MADISON ST,NOT LEAD,NOT LEAD
600 W MADISON ST,NOT LEAD,NOT LEAD
622 28 W RANDOLPH ST,NOT LEAD,NOT LEAD
622 28 W RANDOLPH ST,NOT LEAD,NOT LEAD
616 W FULTON ST,NOT LEAD,NOT LEAD
300 12 S CLINTON ST,NOT LEAD,NOT LEAD
300 12 S CLINTON ST,NOT LEAD,NOT LEAD
714 44 W JACKSON BLVD,NOT LEAD,NOT LEAD
714 44 W JACKSON BLVD,NOT LEAD,NOT LEAD
111 S HALSTED ST,NOT LEAD,NOT LEAD
111 S HALSTED ST,NOT LEAD,NOT LEAD
111 S HALSTED ST,NOT LEAD,NOT LEAD
1000 S CLARK ST,NOT LEAD,NOT LEAD
1249 59 S WABASH AVE,NOT LEAD,NOT LEAD
440 S LA SALLE ST,NOT LEAD,NOT LEAD
440 S LA SALLE ST,NOT LEAD,NOT LEAD
411 41 S LA SALLE ST,NOT LEAD,NOT LEAD
411 41 S LA SALLE ST,NOT LEAD,NOT LEAD
127 W VAN BUREN ST,NOT LEAD,NOT LEAD
127 W VAN BUREN ST,NOT LEAD,NOT LEAD
56 E VAN BUREN ST,NOT LEAD,NOT LEAD
56 E VAN BUREN ST,NOT LEAD,NOT LEAD
1212 S MICHIGAN AVE,NOT LEAD,NOT LEAD
1212 S MICHIGAN AVE,NOT LEAD,NOT LEAD
722 40 S FINANCIAL PL,NOT LEAD,NOT LEAD
722 40 S FINANCIAL PL,NOT LEAD,NOT LEAD
234 W POLK,NOT LEAD,NOT LEAD
234 W POLK,NOT LEAD,NOT LEAD
1154 S CLARK ST,NOT LEAD,NOT LEAD
1154 S CLARK ST,NOT LEAD,NOT LEAD
1255 S MICHIGAN AVE,NOT LEAD,NOT LEAD
1255 S MICHIGAN AVE,NOT LEAD,NOT LEAD
1160 S MICHIGAN AVE,NOT LEAD,NOT LEAD
1160 S MICHIGAN AVE,NOT LEAD,NOT LEAD
730 S CLARK ST,NOT LEAD,NOT LEAD
730 S CLARK ST,NOT LEAD,NOT LEAD
140 50 W ROOSEVELT RD,NOT LEAD,NOT LEAD
140 50 W ROOSEVELT RD,NOT LEAD,NOT LEAD
140 50 W ROOSEVELT RD,NOT LEAD,NOT LEAD
140 50 W ROOSEVELT RD,NOT LEAD,NOT LEAD
140 50 W ROOSEVELT RD,NOT LEAD,NOT LEAD
140 50 W ROOSEVELT RD,NOT LEAD,NOT LEAD
1000 S CLARK ST,NOT LEAD,NOT LEAD
207 W HARRISON ST,NOT LEAD,NOT LEAD
207 W HARRISON ST,NOT LEAD,NOT LEAD
221 W HARRISON ST,NOT LEAD,NOT LEAD
221 W HARRISON ST,NOT LEAD,NOT LEAD
400 S LA SALLE ST,NOT LEAD,NOT LEAD
400 S LA SALLE ST,NOT LEAD,NOT LEAD
411 39 S CLARK ST,NOT LEAD,NOT LEAD
411 39 S CLARK ST,NOT LEAD,NOT LEAD
516 56 S CLARK ST,NOT LEAD,NOT LEAD
516 56 S CLARK ST,NOT LEAD,NOT LEAD
124 W POLK ST,NOT LEAD,NOT LEAD
124 W POLK ST,NOT LEAD,NOT LEAD
11 S LA SALLE ST,NOT LEAD,NOT LEAD
11 S LA SALLE ST,NOT LEAD,NOT LEAD
40 S CLARK ST,NOT LEAD,NOT LEAD
40 S CLARK ST,NOT LEAD,NOT LEAD
101 21 S CLARK ST,NOT LEAD,NOT LEAD
101 21 S CLARK ST,NOT LEAD,NOT LEAD
30 W MONROE ST,NOT LEAD,NOT LEAD
30 W MONROE ST,NOT LEAD,NOT LEAD
55 W MONROE ST,NOT LEAD,NOT LEAD
55 W MONROE ST,NOT LEAD,NOT LEAD
111 17 W MONROE ST,NOT LEAD,NOT LEAD
111 17 W MONROE ST,NOT LEAD,NOT LEAD
105 W ADAMS ST,NOT LEAD,NOT LEAD
123 43 S LA SALLE ST,NOT LEAD,NOT LEAD
123 43 S LA SALLE ST,NOT LEAD,NOT LEAD
123 43 S LA SALLE ST,NOT LEAD,NOT LEAD
10 S LA SALLE ST,NOT LEAD,NOT LEAD
10 S LA SALLE ST,NOT LEAD,NOT LEAD
120 32 S WABASH AVE,NOT LEAD,NOT LEAD
120 32 S WABASH AVE,NOT LEAD,NOT LEAD
1 29 S STATE ST,NOT LEAD,NOT LEAD
1 29 S STATE ST,NOT LEAD,NOT LEAD
101 25 S STATE ST,NOT LEAD,NOT LEAD
101 25 S STATE ST,NOT LEAD,NOT LEAD
131 33 S STATE ST,NOT LEAD,NOT LEAD
125 S WABASH AVE,NOT LEAD,NOT LEAD
125 S WABASH AVE,NOT LEAD,NOT LEAD
60 E MONROE ST,NOT LEAD,NOT LEAD
60 E MONROE ST,NOT LEAD,NOT LEAD
105 W ADAMS ST,NOT LEAD,NOT LEAD
131 S DEARBORN ST,NOT LEAD,NOT LEAD
131 S DEARBORN ST,NOT LEAD,NOT LEAD
1 S DEARBORN ST,NOT LEAD,NOT LEAD
1 S DEARBORN ST,NOT LEAD,NOT LEAD
2 04 S STATE ST,NOT LEAD,NOT LEAD
61 67 E ADAMS ST,NOT LEAD,NOT LEAD
35 W ADAMS ST,NOT LEAD,NOT LEAD
35 W ADAMS ST,NOT LEAD,NOT LEAD
112 S MICHIGAN AVE,NOT LEAD,NOT LEAD
112 S MICHIGAN AVE,NOT LEAD,NOT LEAD
33 W MONROE ST,NOT LEAD,NOT LEAD
33 W MONROE ST,NOT LEAD,NOT LEAD
15 25 W ADAMS ST,NOT LEAD,NOT LEAD
15 25 W ADAMS ST,NOT LEAD,NOT LEAD
2 04 S STATE ST,NOT LEAD,NOT LEAD
61 67 E ADAMS ST,NOT LEAD,NOT LEAD
8 S MICHIGAN AVE,NOT LEAD,NOT LEAD
101 37 N STATE ST,NOT LEAD,NOT LEAD
2 N LA SALLE ST,NOT LEAD,NOT LEAD
2 N LA SALLE ST,NOT LEAD,NOT LEAD
30 N LA SALLE ST,NOT LEAD,NOT LEAD
30 N LA SALLE ST,NOT LEAD,NOT LEAD
2 20 N CLARK ST,NOT LEAD,NOT LEAD
2 20 N CLARK ST,NOT LEAD,NOT LEAD
1 N LA SALLE ST,NOT LEAD,NOT LEAD
1 N LA SALLE ST,NOT LEAD,NOT LEAD
70 W MADISON ST,NOT LEAD,NOT LEAD
70 W MADISON ST,NOT LEAD,NOT LEAD
23 33 W WASHINGTON ST,NOT LEAD,NOT LEAD
101 25 W WASHINGTON ST,NOT LEAD,NOT LEAD
101 25 W WASHINGTON ST,NOT LEAD,NOT LEAD
129 37 W WASHINGTON ST,NOT LEAD,NOT LEAD
129 37 W WASHINGTON ST,NOT LEAD,NOT LEAD
101 37 N STATE ST,NOT LEAD,NOT LEAD
101 37 N STATE ST,NOT LEAD,NOT LEAD
101 37 N STATE ST,NOT LEAD,NOT LEAD
101 37 N STATE ST,NOT LEAD,NOT LEAD
101 37 N STATE ST,NOT LEAD,NOT LEAD
101 37 N STATE ST,NOT LEAD,NOT LEAD
2 14 N WABASH AVE,NOT LEAD,NOT LEAD
2 14 N WABASH AVE,NOT LEAD,NOT LEAD
2 14 N WABASH AVE,NOT LEAD,NOT LEAD
7 09 N WABASH AVE,NOT LEAD,NOT LEAD
7 09 N WABASH AVE,NOT LEAD,NOT LEAD
101 11 N WABASH AVE,NOT LEAD,NOT LEAD
101 11 N WABASH AVE,NOT LEAD,NOT LEAD
51 89 W MADISON ST,NOT LEAD,NOT LEAD
51 89 W MADISON ST,NOT LEAD,NOT LEAD
51 89 W MADISON ST,NOT LEAD,NOT LEAD
181 W MADISON ST,NOT LEAD,NOT LEAD
181 W MADISON ST,NOT LEAD,NOT LEAD
120 N LA SALLE ST,NOT LEAD,NOT LEAD
120 N LA SALLE ST,NOT LEAD,NOT LEAD
23 33 W WASHINGTON ST,NOT LEAD,NOT LEAD
22 W WASHINGTON ST,NOT LEAD,NOT LEAD
22 W WASHINGTON ST,NOT LEAD,NOT LEAD
5 N WABASH AVE,NOT LEAD,NOT LEAD
8 S WABASH AVE,NOT LEAD,NOT LEAD
8 S WABASH AVE,NOT LEAD,NOT LEAD
8 S WABASH AVE,NOT LEAD,NOT LEAD
108 16 W MADISON ST,NOT LEAD,NOT LEAD
108 16 W MADISON ST,NOT LEAD,NOT LEAD
N STATE & W WASHINGTON ST,NOT LEAD,NOT LEAD
20 22 N MICHIGAN AVE,NOT LEAD,NOT LEAD
20 22 N MICHIGAN AVE,NOT LEAD,NOT LEAD
5 N WABASH AVE,NOT LEAD,NOT LEAD
24 32 N WABASH AVE,NOT LEAD,NOT LEAD
24 32 N WABASH AVE,NOT LEAD,NOT LEAD
55 65 E WASHINGTON ST,NOT LEAD,NOT LEAD
55 65 E WASHINGTON ST,NOT LEAD,NOT LEAD
178 84 N MICHIGAN AVE,NOT LEAD,NOT LEAD
178 84 N MICHIGAN AVE,NOT LEAD,NOT LEAD
200 W MADISON ST,NOT LEAD,NOT LEAD
200 W MADISON ST,NOT LEAD,NOT LEAD
225 W WASHINGTON ST,NOT LEAD,NOT LEAD
225 W WASHINGTON ST,NOT LEAD,NOT LEAD
150 N MICHIGAN AVE,NOT LEAD,NOT LEAD
151 61 N MICHIGAN AVE,NOT LEAD,NOT LEAD
151 61 N MICHIGAN AVE,NOT LEAD,NOT LEAD
166 68 N MICHIGAN AVE,NOT LEAD,NOT LEAD
150 N MICHIGAN AVE,NOT LEAD,NOT LEAD
224 42 S CLARK ST,NOT LEAD,NOT LEAD
224 42 S CLARK ST,NOT LEAD,NOT LEAD
201 19 S LA SALLE ST,NOT LEAD,NOT LEAD
201 19 S LA SALLE ST,NOT LEAD,NOT LEAD
220 S STATE ST,NOT LEAD,NOT LEAD
220 S STATE ST,NOT LEAD,NOT LEAD
234 S STATE ST,NOT LEAD,NOT LEAD
234 S STATE ST,NOT LEAD,NOT LEAD
333 S FINANCIAL PL,NOT LEAD,NOT LEAD
333 S FINANCIAL PL,NOT LEAD,NOT LEAD
311 S WACKER DR,NOT LEAD,NOT LEAD
311 S WACKER DR,NOT LEAD,NOT LEAD
300 S RIVERSIDE PLZ,NOT LEAD,NOT LEAD
300 S RIVERSIDE PLZ,NOT LEAD,NOT LEAD
201 09 S STATE ST,NOT LEAD,NOT LEAD
224 S MICHIGAN AVE,NOT LEAD,NOT LEAD
224 S MICHIGAN AVE,NOT LEAD,NOT LEAD
141 W JACKSON BLVD,NOT LEAD,NOT LEAD
141 W JACKSON BLVD,NOT LEAD,NOT LEAD
141 W JACKSON BLVD,NOT LEAD,NOT LEAD
141 W JACKSON BLVD,NOT LEAD,NOT LEAD
141 W JACKSON BLVD,NOT LEAD,NOT LEAD
1 N FRANKLIN ST,NOT LEAD,NOT LEAD
1 N FRANKLIN ST,NOT LEAD,NOT LEAD
130 N GARLAND CT,NOT LEAD,NOT LEAD
130 N GARLAND CT,NOT LEAD,NOT LEAD
1 W RANDOLPH ST,NOT LEAD,NOT LEAD
1 W RANDOLPH ST,NOT LEAD,NOT LEAD
215 W WASHINGTON ST,NOT LEAD,NOT LEAD
215 W WASHINGTON ST,NOT LEAD,NOT LEAD
73 E LAKE ST,NOT LEAD,NOT LEAD
73 E LAKE ST,NOT LEAD,NOT LEAD
166 68 N MICHIGAN AVE,NOT LEAD,NOT LEAD
50 E RANDOLPH ST,NOT LEAD,NOT LEAD
50 E RANDOLPH ST,NOT LEAD,NOT LEAD
141 W JACKSON BLVD,NOT LEAD,NOT LEAD
141 W JACKSON BLVD,NOT LEAD,NOT LEAD
720 26 S WELLS ST,NOT LEAD,NOT LEAD
720 26 S WELLS ST,NOT LEAD,NOT LEAD
333 N CANAL ST,NOT LEAD,NOT LEAD
333 N CANAL ST,NOT LEAD,NOT LEAD
737 W WASHINGTON BLVD,NOT LEAD,NOT LEAD
737 W WASHINGTON BLVD,NOT LEAD,NOT LEAD
300 N CANAL ST,NOT LEAD,NOT LEAD
300 N CANAL ST,NOT LEAD,NOT LEAD
555 W KINZIE ST,NOT LEAD,NOT LEAD
555 W KINZIE ST,NOT LEAD,NOT LEAD
444 W LAKE ST,NOT LEAD,NOT LEAD
444 W LAKE ST,NOT LEAD,NOT LEAD
320 S CANAL ST,NOT LEAD,NOT LEAD
320 S CANAL ST,NOT LEAD,NOT LEAD
350 N CANAL ST,NOT LEAD,NOT LEAD
350 N CANAL ST,NOT LEAD,NOT LEAD
1645 W JACKSON BLVD,NOT LEAD,NOT LEAD
1645 W JACKSON BLVD,NOT LEAD,NOT LEAD
345 N CANAL ST,NOT LEAD,NOT LEAD
345 N CANAL ST,NOT LEAD,NOT LEAD
W 131ST & HALSTED,NOT LEAD,NOT LEAD
W 131ST & HALSTED,NOT LEAD,NOT LEAD
S HALSTED & W 125TH ST,NOT LEAD,NOT LEAD
236 48 S DEARBORN ST,NOT LEAD,NOT LEAD
236 48 S DEARBORN ST,NOT LEAD,NOT LEAD
300 12 S MICHIGAN AVE,NOT LEAD,NOT LEAD
300 12 S MICHIGAN AVE,NOT LEAD,NOT LEAD
3912 N KEELER AVE,NOT LEAD,NOT LEAD
4500 W BELMONT AVE,NOT LEAD,NOT LEAD
4500 W BELMONT AVE,NOT LEAD,NOT LEAD
4500 W BELMONT AVE,NOT LEAD,NOT LEAD
3800 N MILWAUKEE AVE,NOT LEAD,NOT LEAD
3800 N MILWAUKEE AVE,NOT LEAD,NOT LEAD
3900 58 N KILBOURN AVE,NOT LEAD,NOT LEAD
3900 58 N KILBOURN AVE,NOT LEAD,NOT LEAD
3559 N MILWAUKEE AVE,NOT LEAD,NOT LEAD
4445 W IRVING PARK RD,NOT LEAD,NOT LEAD
4445 W IRVING PARK RD,NOT LEAD,NOT LEAD
3802 N KILDARE AVE,NOT LEAD,NOT LEAD
3512 N KOLMAR AVE,NOT LEAD,NOT LEAD
4619 W WAVELAND AVE,NOT LEAD,NOT LEAD
3518 N KEELER AVE,NOT LEAD,NOT LEAD
3400 N KILPATRICK AVE,NOT LEAD,NOT LEAD
3912 N KEELER AVE,NOT LEAD,NOT LEAD
4133 W ADDISON ST,NOT LEAD,NOT LEAD
4201 W HENDERSON ST,NOT LEAD,NOT LEAD
4201 W HENDERSON ST,NOT LEAD,NOT LEAD
4133 W ADDISON ST,NOT LEAD,NOT LEAD
3400 N KILPATRICK AVE,NOT LEAD,NOT LEAD
3802 N KILDARE AVE,NOT LEAD,NOT LEAD
4619 W WAVELAND AVE,NOT LEAD,NOT LEAD
3423 27 N MILWAUKEE AVE,NOT LEAD,NOT LEAD
3423 27 N MILWAUKEE AVE,NOT LEAD,NOT LEAD
3518 N KEELER AVE,NOT LEAD,NOT LEAD
3512 N KOLMAR AVE,NOT LEAD,NOT LEAD
3936 N MILWAUKEE AVE,NOT LEAD,NOT LEAD
4037 N KILBOURN AVE,NOT LEAD,NOT LEAD
4712 36 W IRVING PARK RD,NOT LEAD,NOT LEAD
4712 36 W IRVING PARK RD,NOT LEAD,NOT LEAD
4040 62 N MILWAUKEE AVE,NOT LEAD,NOT LEAD
4041 45 N MILWAUKEE AVE,NOT LEAD,NOT LEAD
4040 62 N MILWAUKEE AVE,NOT LEAD,NOT LEAD
4700 10 W MONTROSE AVE,NOT LEAD,NOT LEAD
4432 W BERTEAU AVE,NOT LEAD,NOT LEAD
4532 W BERTEAU AVE,NOT LEAD,NOT LEAD
4432 W BERTEAU AVE,NOT LEAD,NOT LEAD
4432 W BERTEAU AVE,NOT LEAD,NOT LEAD
4715 W IRVING PARK RD,NOT LEAD,NOT LEAD
4715 W IRVING PARK RD,NOT LEAD,NOT LEAD
3936 N MILWAUKEE AVE,NOT LEAD,NOT LEAD
4704 W HUTCHINSON ST,NOT LEAD,NOT LEAD
4037 N KILBOURN AVE,NOT LEAD,NOT LEAD
4532 W BERTEAU AVE,NOT LEAD,NOT LEAD
4612 52 W IRVING PARK RD,NOT LEAD,NOT LEAD
4612 52 W IRVING PARK RD,NOT LEAD,NOT LEAD
4612 52 W IRVING PARK RD,NOT LEAD,NOT LEAD
4612 52 W IRVING PARK RD,NOT LEAD,NOT LEAD
4704 W HUTCHINSON ST,NOT LEAD,NOT LEAD
4532 W BERTEAU AVE,NOT LEAD,NOT LEAD
4149 W BELMONT AVE,NOT LEAD,NOT LEAD
2828 N KILBOURN AVE,NOT LEAD,NOT LEAD
2828 N KILBOURN AVE,NOT LEAD,NOT LEAD
4223 N KILDARE AVE,NOT LEAD,NOT LEAD
4020 24 W CULLOM AVE,NOT LEAD,NOT LEAD
4239 N KEYSTONE AVE,NOT LEAD,NOT LEAD
4044 N KEDVALE AVE,NOT LEAD,NOT LEAD
4223 N KILDARE AVE,NOT LEAD,NOT LEAD
4338 42 N KEYSTONE AVE,NOT LEAD,NOT LEAD
4239 N KEYSTONE AVE,NOT LEAD,NOT LEAD
4044 N KEDVALE AVE,NOT LEAD,NOT LEAD
4100 N LONG AVE,NOT LEAD,NOT LEAD
4100 N LONG AVE,NOT LEAD,NOT LEAD
4100 N LONG AVE,NOT LEAD,NOT LEAD
3026 S CALIFORNIA AVE,NOT LEAD,NOT LEAD
1080 W ROOSEVELT RD,NOT LEAD,NOT LEAD
3015 S CALIFORNIA AVE,NOT LEAD,NOT LEAD
3015 S CALIFORNIA AVE,NOT LEAD,NOT LEAD
3026 S CALIFORNIA AVE,NOT LEAD,NOT LEAD
2700 S CALIFORNIA AVE UNIT L.F.,NOT LEAD,NOT LEAD
2700 S CALIFORNIA AVE UNIT M.F.,NOT LEAD,NOT LEAD
2800 S CALIFORNIA AVE,NOT LEAD,NOT LEAD
2800 S CALIFORNIA AVE,NOT LEAD,NOT LEAD
2700 S CALIFORNIA AVE UNIT M.F.,NOT LEAD,NOT LEAD
2700 S CALIFORNIA AVE UNIT M.F.,NOT LEAD,NOT LEAD
2700 S CALIFORNIA AVE UNIT L.F.,NOT LEAD,NOT LEAD
2700 S CALIFORNIA AVE UNIT L.F.,NOT LEAD,NOT LEAD
2800 S WESTERN AVE UNIT L.F.,NOT LEAD,NOT LEAD
2800 S WESTERN AVE UNIT M.F.,NOT LEAD,NOT LEAD
3220 S WESTERN AVE,NOT LEAD,NOT LEAD
2700 S WESTERN AVE,NOT LEAD,NOT LEAD
2700 S WESTERN AVE,NOT LEAD,NOT LEAD
2700 S WESTERN AVE,NOT LEAD,NOT LEAD
1758 W 31ST ST,NOT LEAD,NOT LEAD
1758 W 31ST ST,NOT LEAD,NOT LEAD
3220 S WESTERN AVE,NOT LEAD,NOT LEAD
3220 S WESTERN AVE,NOT LEAD,NOT LEAD
3419 S BELL AVE,NOT LEAD,NOT LEAD
3419 S BELL AVE,NOT LEAD,NOT LEAD
3009 31 S WESTERN AVE,NOT LEAD,NOT LEAD
3009 31 S WESTERN AVE,NOT LEAD,NOT LEAD
2800 S WESTERN AVE UNIT M.F.,NOT LEAD,NOT LEAD
2800 S WESTERN AVE UNIT L.F.,NOT LEAD,NOT LEAD
1450 W CERMAK RD,NOT LEAD,NOT LEAD
1915 S ALLPORT ST,NOT LEAD,NOT LEAD
1132 W 17TH ST,NOT LEAD,NOT LEAD
1915 S ALLPORT ST,NOT LEAD,NOT LEAD
810 W 14TH PL,NOT LEAD,NOT LEAD
810 W 14TH PL,NOT LEAD,NOT LEAD
810 W 14TH PL,NOT LEAD,NOT LEAD
2301 W 21ST PL,NOT LEAD,NOT LEAD
2301 W 21ST PL,NOT LEAD,NOT LEAD
1450 W CERMAK RD,NOT LEAD,NOT LEAD
2500 28 W 24TH ST,NOT LEAD,NOT LEAD
2386 S BLUE ISLAND AVE,NOT LEAD,NOT LEAD
2351 S WOOD ST,NOT LEAD,NOT LEAD
844 W 15TH PL,NOT LEAD,NOT LEAD
