Address,Private Service Line Material,Public Service Line Material
9712 S DR MARTIN LUTHER KING JR DR,NOT LEAD,SUSPECTED LEAD
1357 N WALLER AVE,LEAD,SUSPECTED LEAD
338 42 E 103RD ST,SUSPECTED LEAD,SUSPECTED LEAD
607 09 W BUCKINGHAM PL,NOT LEAD,SUSPECTED LEAD
6317 19 N BELL AVE,NOT LEAD,SUSPECTED LEAD
5535 N ST LOUIS AVE,NOT LEAD,SUSPECTED LEAD
2850 54 W DEVON AVE,NOT LEAD,NOT LEAD
8024 26 S PAXTON AVE,NOT LEAD,SUSPECTED LEAD
5525 S LA SALLE ST,NOT LEAD,NOT LEAD
2604 N SPRINGFIELD AVE,NOT LEAD,SUSPECTED LEAD
1248 58 W BRYN MAWR AVE,NOT LEAD,SUSPECTED LEAD
8420 S MANISTEE AVE,NOT LEAD,LEAD
5325 27 W GIDDINGS ST,SUSPECTED LEAD,SUSPECTED LEAD
5534 48 N WINTHROP AVE,NOT LEAD,NOT LEAD
8029 31 S MARYLAND AVE,NOT LEAD,SUSPECTED LEAD
2714 16 W LUNT AVE,NOT LEAD,SUSPECTED LEAD
5526 S ARCHER AVE,NOT LEAD,SUSPECTED LEAD
5117 W PARKER AVE,SUSPECTED LEAD,SUSPECTED LEAD
1631 S ST LOUIS AVE,NOT LEAD,SUSPECTED LEAD
8718 S DR MARTIN LUTHER KING JR DR,NOT LEAD,SUSPECTED LEAD
6539 S ST LAWRENCE AVE,NOT LEAD,LEAD
11219 23 S HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
8053 S STEWART AVE UNIT A,LEAD,SUSPECTED LEAD
2122 24 S LAWNDALE AVE,LEAD,SUSPECTED LEAD
6329 33 S GREEN ST,SUSPECTED LEAD,SUSPECTED LEAD
941 43 W AGATITE AVE,NOT LEAD,NOT LEAD
4414 18 N WOLCOTT AVE,NOT LEAD,LEAD
3235 37 W BRYN MAWR AVE,NOT LEAD,LEAD
1431 33 E 66TH PL,NOT LEAD,SUSPECTED LEAD
7443 45 S JEFFERY BLVD,NOT LEAD,SUSPECTED LEAD
