Address,Private Service Line Material,Public Service Line Material
1314 W BALMORAL AVE,LEAD,LEAD
3720 22 S MICHIGAN AVE,LEAD,LEAD
8935 37 S EXCHANGE AVE,LEAD,LEAD
8609 11 S MARQUETTE AVE,LEAD,LEAD
6943 45 S HARVARD AVE,LEAD,LEAD
7419 S MERRILL AVE,LEAD,LEAD
1787 W TOUHY AVE UNIT C,LEAD,LEAD
4407 09 W LELAND AVE,LEAD,LEAD
1409 E 54TH PL,LEAD,LEAD
7745 S DR MARTIN LUTHER KING JR DR,LEAD,LEAD
10338 40 S HOXIE AVE,LEAD,LEAD
445 47 W 101ST PL,LEAD,LEAD
1814 W NORWOOD ST UNIT F,LEAD,LEAD
47 E CARVER PLZ,LEAD,LEAD
5456 S BLACKSTONE AVE,LEAD,LEAD
5464 S BLACKSTONE AVE,LEAD,LEAD
5466 S BLACKSTONE AVE,LEAD,LEAD
1407 E 54TH PL,LEAD,LEAD
1415 E 54TH PL,LEAD,LEAD
505 W 43RD PL,LEAD,LEAD
7205 07 S CRANDON AVE,LEAD,LEAD
7719 S PAXTON AVE,LEAD,LEAD
7643 45 S OGLESBY AVE,LEAD,LEAD
7535 S YATES BLVD,LEAD,LEAD
7533 S DR MARTIN LUTHER KING JR DR,LEAD,LEAD
7543 S DR MARTIN LUTHER KING JR DR,LEAD,LEAD
9156 58 S ESSEX AVE,LEAD,LEAD
9206 08 S ESSEX AVE,LEAD,LEAD
13428 30 S MACKINAW AVE,LEAD,LEAD
10446 S WABASH AVE,LEAD,LEAD
442 44 W 101ST PL,LEAD,LEAD
311 13 E 134TH ST,LEAD,LEAD
3250 W 108TH ST,LEAD,LEAD
7541 43 S CRANDON AVE,LEAD,LEAD
7531 S YATES BLVD,LEAD,LEAD
6822 S CLYDE AVE,LEAD,LEAD
7643 S DR MARTIN LUTHER KING JR DR,LEAD,LEAD
7639 S DR MARTIN LUTHER KING JR DR,LEAD,LEAD
7619 S DR MARTIN LUTHER KING JR DR,LEAD,LEAD
3724 26 S MICHIGAN AVE,LEAD,LEAD
5458 S BLACKSTONE AVE,LEAD,LEAD
5460 S BLACKSTONE AVE,LEAD,LEAD
5468 S BLACKSTONE AVE,LEAD,LEAD
1413 E 54TH PL,LEAD,LEAD
1419 E 54TH PL,LEAD,LEAD
8600 02 S MARQUETTE AVE,LEAD,LEAD
8955 S ESCANABA AVE,LEAD,LEAD
8837 S LAFLIN ST,LEAD,LEAD
13303 S CALUMET AVE,LEAD,LEAD
5257 S KEATING AVE,LEAD,LEAD
2600 10 W 71ST ST,LEAD,LEAD
6042 S TRIPP AVE,LEAD,LEAD
5938 S SAWYER AVE,LEAD,LEAD
6629 S KEATING AVE,LEAD,LEAD
3932 N NORA AVE,LEAD,LEAD
3904 N NORA AVE,LEAD,LEAD
3916 N NORA AVE,LEAD,LEAD
3905 N NORA AVE,LEAD,LEAD
3920 N NORA AVE,LEAD,LEAD
3911 N NORA AVE,LEAD,LEAD
3901 N NORA AVE,LEAD,LEAD
4947 N MONTICELLO AVE,LEAD,LEAD
4815 17 N LAWNDALE AVE,LEAD,LEAD
2837 W EASTWOOD AVE,LEAD,LEAD
9800 02 S HAMILTON AVE,LEAD,LEAD
1845 W 108TH PL,LEAD,LEAD
11014 S ESMOND ST,LEAD,LEAD
1256 58 W 112TH ST,LEAD,LEAD
10645 47 S RACINE AVE,LEAD,LEAD
4113 23 N KEELER AVE,NOT LEAD,LEAD
5727 29 S INDIANA AVE,NOT LEAD,LEAD
341 43 E 115TH ST,NOT LEAD,LEAD
2401 13 N HALSTED ST,NOT LEAD,LEAD
3800 04 W DIVISION ST,NOT LEAD,LEAD
1532 34 E MARQUETTE RD,NOT LEAD,LEAD
7310 14 N CLAREMONT AVE,NOT LEAD,LEAD
4746 48 N DOVER ST,NOT LEAD,LEAD
3801 03 W FULLERTON AVE,NOT LEAD,LEAD
1210 16 W LAKE ST,NOT LEAD,LEAD
1015 17 W LAKE ST,NOT LEAD,LEAD
3135 37 W WARREN BLVD,NOT LEAD,LEAD
1858 60 S SPRINGFIELD AVE,NOT LEAD,LEAD
4750 52 S INDIANA AVE,NOT LEAD,LEAD
4143 45 S MICHIGAN AVE,NOT LEAD,LEAD
4924 26 S INDIANA AVE,NOT LEAD,LEAD
6401 05 S FRANCISCO AVE,NOT LEAD,LEAD
7419 25 S COLFAX AVE,NOT LEAD,LEAD
2310 12 E 75TH ST,NOT LEAD,LEAD
2700 04 E 78TH ST,NOT LEAD,LEAD
5437 39 S HARPER AVE,NOT LEAD,LEAD
3447 49 W IRVING PARK RD,NOT LEAD,LEAD
2407 09 N CLARK ST,NOT LEAD,LEAD
3716 18 W FULLERTON AVE,NOT LEAD,LEAD
2337 47 N CICERO AVE,NOT LEAD,LEAD
3903 05 W SHAKESPEARE AVE,NOT LEAD,LEAD
2046 48 W EVERGREEN AVE,NOT LEAD,LEAD
4837 W JACKSON BLVD,NOT LEAD,LEAD
2210 12 W 37TH ST,NOT LEAD,LEAD
2501 03 S CENTRAL PARK AVE,NOT LEAD,LEAD
2449 51 W 60TH ST,NOT LEAD,LEAD
7743 47 S YATES BLVD,NOT LEAD,LEAD
348 N ST LOUIS AVE,NOT LEAD,LEAD
8547 S MANISTEE AVE,NOT LEAD,LEAD
7046 S DR MARTIN LUTHER KING JR DR,NOT LEAD,LEAD
5906 12 N KNOX AVE,NOT LEAD,LEAD
8804 S LAFLIN ST,NOT LEAD,LEAD
2326 28 W 109TH ST,NOT LEAD,LEAD
315 17 N LOREL AVE,NOT LEAD,LEAD
5459 S DORCHESTER AVE,NOT LEAD,LEAD
7211 13 S CRANDON AVE,NOT LEAD,LEAD
11117 S ST LAWRENCE AVE,NOT LEAD,LEAD
11257 59 S ST LAWRENCE AVE,NOT LEAD,LEAD
11026 30 S HOYNE AVE,NOT LEAD,LEAD
1418 W 105TH PL,NOT LEAD,LEAD
737 47 W BELDEN AVE,GALVANIZED REQUIRING REPLACEMENT,LEAD
6851 53 W IRVING PARK RD,GALVANIZED REQUIRING REPLACEMENT,LEAD
7837 S DR MARTIN LUTHER KING JR DR,GALVANIZED REQUIRING REPLACEMENT,LEAD
8906 S EGGLESTON AVE,GALVANIZED REQUIRING REPLACEMENT,LEAD
3908 N NORA AVE,GALVANIZED REQUIRING REPLACEMENT,LEAD
8518 20 S MARQUETTE AVE,GALVANIZED REQUIRING REPLACEMENT,LEAD
10306 08 S HOXIE AVE,GALVANIZED REQUIRING REPLACEMENT,LEAD
10332 34 S EWING AVE,GALVANIZED REQUIRING REPLACEMENT,LEAD
7427 S DR MARTIN LUTHER KING JR DR,GALVANIZED REQUIRING REPLACEMENT,LEAD
5043 W JACKSON BLVD APT B,GALVANIZED REQUIRING REPLACEMENT,LEAD
8938 40 S LOWE AVE,GALVANIZED REQUIRING REPLACEMENT,LEAD
1357 W 112TH ST,GALVANIZED REQUIRING REPLACEMENT,LEAD
7533 S MERRILL AVE,GALVANIZED REQUIRING REPLACEMENT,LEAD
11035 S EDBROOKE AVE,GALVANIZED REQUIRING REPLACEMENT,LEAD
11417 S ST LAWRENCE AVE,GALVANIZED REQUIRING REPLACEMENT,LEAD
10251 53 S HOXIE AVE,GALVANIZED REQUIRING REPLACEMENT,LEAD
3308 10 E 136TH ST,GALVANIZED REQUIRING REPLACEMENT,LEAD
3301 05 E 136TH ST,GALVANIZED REQUIRING REPLACEMENT,LEAD
7339 41 S CLYDE AVE,GALVANIZED REQUIRING REPLACEMENT,LEAD
3922 N NORA AVE,GALVANIZED REQUIRING REPLACEMENT,LEAD
7440 42 S CRANDON AVE,GALVANIZED REQUIRING REPLACEMENT,LEAD
8000 02 S EUCLID AVE,GALVANIZED REQUIRING REPLACEMENT,LEAD
10624 S LAFAYETTE AVE,GALVANIZED REQUIRING REPLACEMENT,LEAD
7015 S STONY ISLAND AVE,NOT LEAD,NOT LEAD
1453 55 W WINNEMAC AVE,NOT LEAD,NOT LEAD
1906 08 W SUMMERDALE AVE,NOT LEAD,NOT LEAD
4854 56 W IRVING PARK RD,NOT LEAD,NOT LEAD
2601 03 W ARMITAGE AVE,NOT LEAD,NOT LEAD
7511 13 N WINCHESTER AVE,NOT LEAD,NOT LEAD
4927 29 N WINTHROP AVE,NOT LEAD,NOT LEAD
5117 19 N WINCHESTER AVE,NOT LEAD,NOT LEAD
5423 25 N CLARK ST,NOT LEAD,NOT LEAD
4970 N ELSTON AVE,NOT LEAD,NOT LEAD
1910 12 W SUNNYSIDE AVE,NOT LEAD,NOT LEAD
3741 43 N ALBANY AVE,NOT LEAD,NOT LEAD
3000 04 W IRVING PARK RD,NOT LEAD,NOT LEAD
5240 44 W IRVING PARK RD,NOT LEAD,NOT LEAD
3204 06 W ARMITAGE AVE,NOT LEAD,NOT LEAD
1056 58 N DAMEN AVE,NOT LEAD,NOT LEAD
1800 02 S ASHLAND AVE,NOT LEAD,NOT LEAD
3839 43 S MICHIGAN AVE,NOT LEAD,NOT LEAD
4008 10 S CALUMET AVE,NOT LEAD,NOT LEAD
5430 32 S HARPER AVE,NOT LEAD,NOT LEAD
4915 17 S CALUMET AVE,NOT LEAD,NOT LEAD
4919 21 S CALUMET AVE,NOT LEAD,NOT LEAD
5040 42 S CALUMET AVE,NOT LEAD,NOT LEAD
4748 50 S ASHLAND AVE,NOT LEAD,NOT LEAD
6807 09 S CORNELL AVE,NOT LEAD,NOT LEAD
1916 20 W CHICAGO AVE,NOT LEAD,NOT LEAD
2116 W CHICAGO AVE,NOT LEAD,NOT LEAD
2217 19 W BYRON ST,NOT LEAD,NOT LEAD
2606 10 N CALIFORNIA AVE,NOT LEAD,NOT LEAD
2800 02 W LOGAN BLVD,NOT LEAD,NOT LEAD
5250 56 W FULTON ST,NOT LEAD,NOT LEAD
5036 38 W ADAMS ST,NOT LEAD,NOT LEAD
4911 13 S CALUMET AVE,NOT LEAD,NOT LEAD
6418 20 S MARYLAND AVE,NOT LEAD,NOT LEAD
6715 17 S STEWART AVE,NOT LEAD,NOT LEAD
5735 N RIDGE AVE,NOT LEAD,NOT LEAD
3752 N NORA AVE,LEAD,NOT LEAD
7400 S DR MARTIN LUTHER KING JR DR,LEAD,NOT LEAD
7651 53 S EMERALD AVE,GALVANIZED REQUIRING REPLACEMENT,NOT LEAD
11356 S CARPENTER ST,SUSPECTED LEAD,NOT LEAD
4641 43 N DOVER ST,SUSPECTED LEAD,NOT LEAD
3217 N SHEFFIELD AVE,SUSPECTED LEAD,NOT LEAD
4413 15 S INDIANA AVE,SUSPECTED LEAD,NOT LEAD
4023 25 S CALUMET AVE,SUSPECTED LEAD,NOT LEAD
7010 12 S CLYDE AVE,SUSPECTED LEAD,NOT LEAD
4546 48 W CERMAK RD,SUSPECTED LEAD,NOT LEAD
4501 25 S KNOX AVE,SUSPECTED LEAD,NOT LEAD
4655 S KNOX AVE,SUSPECTED LEAD,NOT LEAD
5501 03 S HYDE PARK BLVD,SUSPECTED LEAD,NOT LEAD
814 24 W 103RD ST,SUSPECTED LEAD,NOT LEAD
1850 58 W FULTON ST,SUSPECTED LEAD,NOT LEAD
2456 W IRVING PARK RD,SUSPECTED LEAD,NOT LEAD
2229 N BURLING ST UNIT,SUSPECTED LEAD,NOT LEAD
2952 W ARMITAGE AVE,SUSPECTED LEAD,NOT LEAD
4832 34 N WINTHROP AVE,SUSPECTED LEAD,NOT LEAD
11919 21 S EMERALD AVE,SUSPECTED LEAD,NOT LEAD
4301 05 N HARDING AVE,SUSPECTED LEAD,NOT LEAD
732 34 N HAMLIN AVE,SUSPECTED LEAD,NOT LEAD
4533 39 S CALUMET AVE,SUSPECTED LEAD,NOT LEAD
201 05 E 42ND ST,SUSPECTED LEAD,NOT LEAD
6201 07 S EVANS AVE,SUSPECTED LEAD,NOT LEAD
6949 59 S PAXTON AVE,SUSPECTED LEAD,NOT LEAD
6756 S EAST END AVE,SUSPECTED LEAD,NOT LEAD
7000 02 S STEWART AVE,SUSPECTED LEAD,NOT LEAD
7057 59 S PRINCETON AVE,SUSPECTED LEAD,NOT LEAD
7151 59 S PARNELL AVE,SUSPECTED LEAD,NOT LEAD
7601 07 S EMERALD AVE,SUSPECTED LEAD,NOT LEAD
1432 34 W FARRAGUT AVE,SUSPECTED LEAD,NOT LEAD
4459 N DOVER ST,SUSPECTED LEAD,NOT LEAD
1546 50 W CHICAGO AVE,SUSPECTED LEAD,NOT LEAD
3148 50 W IRVING PARK RD,SUSPECTED LEAD,NOT LEAD
4900 10 W IRVING PARK RD,SUSPECTED LEAD,NOT LEAD
5121 23 N CLARK ST,SUSPECTED LEAD,NOT LEAD
6251 N CLARK ST,SUSPECTED LEAD,NOT LEAD
4255 N LINCOLN AVE,SUSPECTED LEAD,NOT LEAD
2925 27 N HALSTED ST,SUSPECTED LEAD,NOT LEAD
4347 53 W FULLERTON AVE,SUSPECTED LEAD,NOT LEAD
2742 44 W 55TH ST,SUSPECTED LEAD,NOT LEAD
5147 51 S ARCHER AVE,SUSPECTED LEAD,NOT LEAD
1105 11 S WESTERN AVE,SUSPECTED LEAD,NOT LEAD
1377 79 E 53RD ST,SUSPECTED LEAD,NOT LEAD
3710 12 W 55TH ST,SUSPECTED LEAD,NOT LEAD
5301 S ARCHER AVE,SUSPECTED LEAD,NOT LEAD
5317 21 S ARCHER AVE,SUSPECTED LEAD,NOT LEAD
6542 S COTTAGE GROVE AVE,SUSPECTED LEAD,NOT LEAD
6531 37 S STATE ST,SUSPECTED LEAD,NOT LEAD
11300 S MICHIGAN AVE,SUSPECTED LEAD,NOT LEAD
4807 11 S ARCHER AVE,SUSPECTED LEAD,NOT LEAD
4013 15 S CALUMET AVE,SUSPECTED LEAD,NOT LEAD
5010 12 S CALUMET AVE,SUSPECTED LEAD,NOT LEAD
6154 58 S ROCKWELL ST,SUSPECTED LEAD,NOT LEAD
5715 17 S INDIANA AVE,SUSPECTED LEAD,NOT LEAD
5814 16 S INDIANA AVE,SUSPECTED LEAD,NOT LEAD
5649 51 S INDIANA AVE,SUSPECTED LEAD,NOT LEAD
6212 14 S DORCHESTER AVE,SUSPECTED LEAD,NOT LEAD
6438 40 S MARYLAND AVE,SUSPECTED LEAD,NOT LEAD
6854 56 S CORNELL AVE,SUSPECTED LEAD,NOT LEAD
7701 03 S RHODES AVE,SUSPECTED LEAD,NOT LEAD
1022 24 N DAMEN AVE,SUSPECTED LEAD,NOT LEAD
3803 09 W OHIO ST,SUSPECTED LEAD,NOT LEAD
4845 47 W WEST END AVE,SUSPECTED LEAD,NOT LEAD
7253 N OAKLEY AVE,SUSPECTED LEAD,NOT LEAD
2301 03 W CHASE AVE,SUSPECTED LEAD,NOT LEAD
5615 17 N WAYNE AVE UNIT 3N,SUSPECTED LEAD,NOT LEAD
6225 27 N HERMITAGE AVE,SUSPECTED LEAD,NOT LEAD
3301 05 W CULLOM AVE,SUSPECTED LEAD,NOT LEAD
5062 64 W AGATITE AVE,SUSPECTED LEAD,NOT LEAD
1134 36 W WRIGHTWOOD AVE,SUSPECTED LEAD,NOT LEAD
1831 33 N HUDSON AVE,SUSPECTED LEAD,NOT LEAD
2538 48 N CALIFORNIA AVE,SUSPECTED LEAD,NOT LEAD
2142 44 W CONCORD PL,SUSPECTED LEAD,NOT LEAD
2020 22 N SPAULDING AVE,SUSPECTED LEAD,NOT LEAD
2114 16 N SPAULDING AVE,SUSPECTED LEAD,NOT LEAD
2139 41 N SPAULDING AVE,SUSPECTED LEAD,NOT LEAD
744 46 W CORNELIA AVE,SUSPECTED LEAD,NOT LEAD
2428 30 W DAKIN ST,SUSPECTED LEAD,NOT LEAD
7549 51 S EMERALD AVE,SUSPECTED LEAD,NOT LEAD
11943 S EMERALD AVE,SUSPECTED LEAD,NOT LEAD
3138 40 W WALTON ST,SUSPECTED LEAD,NOT LEAD
2633 45 W CHICAGO AVE,SUSPECTED LEAD,NOT LEAD
2252 56 N CICERO AVE,SUSPECTED LEAD,NOT LEAD
4848 56 N CLARK ST,SUSPECTED LEAD,NOT LEAD
3922 24 W IRVING PARK RD,SUSPECTED LEAD,NOT LEAD
5328 40 W IRVING PARK RD,SUSPECTED LEAD,NOT LEAD
3110 12 N SHEFFIELD AVE,SUSPECTED LEAD,NOT LEAD
4725 29 W GRAND AVE,SUSPECTED LEAD,NOT LEAD
5900 06 W ADAMS BLVD,SUSPECTED LEAD,NOT LEAD
4700 02 W FIFTH AVE,SUSPECTED LEAD,NOT LEAD
2534 38 S KEDZIE AVE,SUSPECTED LEAD,NOT LEAD
4539 49 S KNOX AVE,SUSPECTED LEAD,NOT LEAD
2150 58 E 71ST ST,SUSPECTED LEAD,NOT LEAD
8130 S STONY ISLAND AVE,SUSPECTED LEAD,NOT LEAD
5514 16 W IOWA ST,SUSPECTED LEAD,NOT LEAD
1804 12 N LEAVITT ST,SUSPECTED LEAD,NOT LEAD
7348 52 S PAXTON AVE,SUSPECTED LEAD,NOT LEAD
6439 S COTTAGE GROVE AVE,SUSPECTED LEAD,NOT LEAD
7240 42 S WENTWORTH AVE,SUSPECTED LEAD,NOT LEAD
3861 63 W HARRISON ST,SUSPECTED LEAD,NOT LEAD
3147 W 59TH ST,SUSPECTED LEAD,NOT LEAD
3148 50 W MARQUETTE RD,SUSPECTED LEAD,NOT LEAD
1604 W FULTON ST,SUSPECTED LEAD,NOT LEAD
5012 14 N CLARK ST,SUSPECTED LEAD,NOT LEAD
4600 02 N DOVER ST,SUSPECTED LEAD,NOT LEAD
3356 58 N SHEFFIELD AVE,SUSPECTED LEAD,NOT LEAD
3211 13 N SHEFFIELD AVE,SUSPECTED LEAD,NOT LEAD
3338 44 N LINCOLN AVE,SUSPECTED LEAD,NOT LEAD
3152 58 W IRVING PARK RD,SUSPECTED LEAD,NOT LEAD
3554 56 N HERMITAGE AVE,SUSPECTED LEAD,NOT LEAD
2121 25 W IRVING PARK RD,SUSPECTED LEAD,NOT LEAD
4256 N WESTERN AVE,SUSPECTED LEAD,NOT LEAD
3901 03 N KEDZIE AVE,SUSPECTED LEAD,NOT LEAD
1101 03 W WELLINGTON AVE,SUSPECTED LEAD,NOT LEAD
2866 68 N LINCOLN AVE,SUSPECTED LEAD,NOT LEAD
2319 21 W CHICAGO AVE,SUSPECTED LEAD,NOT LEAD
1250 52 N DAMEN AVE,SUSPECTED LEAD,NOT LEAD
1542 44 N MILWAUKEE AVE,SUSPECTED LEAD,NOT LEAD
3710 12 N TROY ST,SUSPECTED LEAD,NOT LEAD
1940 42 N HUMBOLDT BLVD,SUSPECTED LEAD,NOT LEAD
1941 43 N HUMBOLDT BLVD,SUSPECTED LEAD,NOT LEAD
703 05 W CORNELIA AVE,SUSPECTED LEAD,NOT LEAD
3654 56 N WHIPPLE ST,SUSPECTED LEAD,NOT LEAD
3826 28 N TROY ST,SUSPECTED LEAD,NOT LEAD
3620 22 N CLAREMONT AVE,SUSPECTED LEAD,NOT LEAD
7255 57 N BELL AVE,SUSPECTED LEAD,NOT LEAD
4813 15 N WINTHROP AVE,SUSPECTED LEAD,NOT LEAD
1222 24 W ARGYLE ST,SUSPECTED LEAD,NOT LEAD
1410 12 W ARGYLE ST,SUSPECTED LEAD,NOT LEAD
5006 08 N WINCHESTER AVE,SUSPECTED LEAD,NOT LEAD
5053 55 N WINCHESTER AVE,SUSPECTED LEAD,NOT LEAD
4954 56 N WINCHESTER AVE,SUSPECTED LEAD,NOT LEAD
1446 48 W BALMORAL AVE,SUSPECTED LEAD,NOT LEAD
1426 28 W FARRAGUT AVE,SUSPECTED LEAD,NOT LEAD
1449 51 W SUMMERDALE AVE,SUSPECTED LEAD,NOT LEAD
5630 32 N WAYNE AVE,SUSPECTED LEAD,NOT LEAD
1462 64 W LELAND AVE,SUSPECTED LEAD,NOT LEAD
4432 34 N DOVER ST,SUSPECTED LEAD,NOT LEAD
4645 47 N WOLCOTT AVE,SUSPECTED LEAD,NOT LEAD
4435 43 N LEAVITT ST,SUSPECTED LEAD,NOT LEAD
3252 56 W LELAND AVE,SUSPECTED LEAD,NOT LEAD
4704 08 N SAWYER AVE,SUSPECTED LEAD,NOT LEAD
8318 20 S THROOP ST,SUSPECTED LEAD,NOT LEAD
11937 S EMERALD AVE,SUSPECTED LEAD,NOT LEAD
4016 18 S CALUMET AVE,SUSPECTED LEAD,NOT LEAD
4030 32 S CALUMET AVE,SUSPECTED LEAD,NOT LEAD
4512 14 S CALUMET AVE,SUSPECTED LEAD,NOT LEAD
4522 24 S CALUMET AVE,SUSPECTED LEAD,NOT LEAD
4530 32 S CALUMET AVE,SUSPECTED LEAD,NOT LEAD
4625 27 S CALUMET AVE,SUSPECTED LEAD,NOT LEAD
4626 28 S CALUMET AVE,SUSPECTED LEAD,NOT LEAD
4631 33 S CALUMET AVE,SUSPECTED LEAD,NOT LEAD
4635 37 S CALUMET AVE,SUSPECTED LEAD,NOT LEAD
4358 S LAKE PARK AVE,SUSPECTED LEAD,NOT LEAD
4240 42 S CALUMET AVE,SUSPECTED LEAD,NOT LEAD
6152 54 S EVANS AVE,SUSPECTED LEAD,NOT LEAD
6010 12 S EBERHART AVE,SUSPECTED LEAD,NOT LEAD
6032 34 S EBERHART AVE,SUSPECTED LEAD,NOT LEAD
5535 37 S WABASH AVE,SUSPECTED LEAD,NOT LEAD
6631 33 S WOODLAWN AVE,SUSPECTED LEAD,NOT LEAD
7018 20 S PAXTON AVE,SUSPECTED LEAD,NOT LEAD
6720 24 S PAXTON AVE,SUSPECTED LEAD,NOT LEAD
6740 42 S CLYDE AVE,SUSPECTED LEAD,NOT LEAD
7650 52 S JEFFERY BLVD,SUSPECTED LEAD,NOT LEAD
1511 13 E 73RD ST,SUSPECTED LEAD,NOT LEAD
1430 32 E 73RD ST,SUSPECTED LEAD,NOT LEAD
1540 E 80TH ST,SUSPECTED LEAD,NOT LEAD
5337 39 S CALUMET AVE,SUSPECTED LEAD,NOT LEAD
8031 35 S PHILLIPS AVE,SUSPECTED LEAD,NOT LEAD
1745 W 33RD ST,SUSPECTED LEAD,NOT LEAD
7018 20 S CLYDE AVE,SUSPECTED LEAD,NOT LEAD
7943 S SOUTH SHORE DR,SUSPECTED LEAD,NOT LEAD
7220 22 S WENTWORTH AVE,SUSPECTED LEAD,NOT LEAD
2305 07 W WAVELAND AVE,SUSPECTED LEAD,NOT LEAD
3735 37 N LEAVITT ST,SUSPECTED LEAD,NOT LEAD
1723 25 W BARRY AVE,SUSPECTED LEAD,NOT LEAD
5351 53 N BROADWAY,SUSPECTED LEAD,NOT LEAD
6400 02 S MARYLAND AVE,SUSPECTED LEAD,NOT LEAD
6723 25 S CLYDE AVE,SUSPECTED LEAD,NOT LEAD
6718 S RIDGELAND AVE,SUSPECTED LEAD,NOT LEAD
6930 32 S PRINCETON AVE,SUSPECTED LEAD,NOT LEAD
1356 58 E 72ND PL,SUSPECTED LEAD,NOT LEAD
4507 09 N DOVER ST,SUSPECTED LEAD,NOT LEAD
4511 13 N DOVER ST,SUSPECTED LEAD,NOT LEAD
2617 19 W LELAND AVE,SUSPECTED LEAD,NOT LEAD
2710 12 W LELAND AVE,SUSPECTED LEAD,NOT LEAD
3708 10 N WHIPPLE ST,SUSPECTED LEAD,NOT LEAD
3601 03 N DAMEN AVE,SUSPECTED LEAD,NOT LEAD
4434 36 N CAMPBELL AVE,SUSPECTED LEAD,NOT LEAD
5020 22 W GRACE ST,SUSPECTED LEAD,NOT LEAD
1928 N HUMBOLDT BLVD,SUSPECTED LEAD,NOT LEAD
1654 58 W BELMONT AVE,SUSPECTED LEAD,NOT LEAD
3501 03 N SEMINARY AVE,SUSPECTED LEAD,NOT LEAD
1900 06 W MONTROSE AVE,SUSPECTED LEAD,NOT LEAD
4654 58 N DAMEN AVE,SUSPECTED LEAD,NOT LEAD
5501 03 W IRVING PARK RD,SUSPECTED LEAD,NOT LEAD
2615 17 N SHEFFIELD AVE,SUSPECTED LEAD,NOT LEAD
721 E 63RD ST,SUSPECTED LEAD,NOT LEAD
3135 39 W 59TH ST,SUSPECTED LEAD,NOT LEAD
238 40 W 31ST ST,SUSPECTED LEAD,NOT LEAD
4354 58 W FULLERTON AVE,SUSPECTED LEAD,NOT LEAD
5818 26 W DIVISION ST,SUSPECTED LEAD,NOT LEAD
11031 39 S STATE ST,SUSPECTED LEAD,NOT LEAD
5727 S RACINE AVE,SUSPECTED LEAD,NOT LEAD
4239 S INDIANA AVE,SUSPECTED LEAD,NOT LEAD
3708 10 S WABASH AVE,SUSPECTED LEAD,NOT LEAD
4546 48 S CALUMET AVE,SUSPECTED LEAD,NOT LEAD
2657 59 S LAWNDALE AVE,SUSPECTED LEAD,NOT LEAD
2200 02 W MONROE ST,SUSPECTED LEAD,NOT LEAD
6340 42 S ASHLAND AVE,SUSPECTED LEAD,NOT LEAD
6701 47 S COTTAGE GROVE AVE,SUSPECTED LEAD,NOT LEAD
5627 29 S INDIANA AVE,SUSPECTED LEAD,NOT LEAD
6406 10 S MINERVA AVE,SUSPECTED LEAD,NOT LEAD
7000 10 S PAXTON AVE,SUSPECTED LEAD,NOT LEAD
6836 38 S CRANDON AVE,SUSPECTED LEAD,NOT LEAD
6851 59 S PAXTON AVE,SUSPECTED LEAD,NOT LEAD
7326 28 S PAXTON AVE,SUSPECTED LEAD,NOT LEAD
1453 57 E 53RD ST,SUSPECTED LEAD,NOT LEAD
315 17 E 51ST ST,SUSPECTED LEAD,NOT LEAD
6023 S COTTAGE GROVE AVE,SUSPECTED LEAD,NOT LEAD
3241 43 W CERMAK RD,SUSPECTED LEAD,NOT LEAD
5331 33 S ARCHER AVE,SUSPECTED LEAD,NOT LEAD
4000 04 S CALUMET AVE,SUSPECTED LEAD,NOT LEAD
5910 12 W ADAMS BLVD,SUSPECTED LEAD,NOT LEAD
15 17 E DIVISION ST,SUSPECTED LEAD,NOT LEAD
6930 40 W MEDILL AVE,SUSPECTED LEAD,NOT LEAD
1556 58 N DAMEN AVE,SUSPECTED LEAD,NOT LEAD
3100 02 N CALIFORNIA AVE,SUSPECTED LEAD,NOT LEAD
3709 11 W ARMITAGE AVE,SUSPECTED LEAD,NOT LEAD
3914 22 W SHAKESPEARE AVE,SUSPECTED LEAD,NOT LEAD
2101 03 N SPAULDING AVE,SUSPECTED LEAD,NOT LEAD
3739 41 W NORTH AVE,SUSPECTED LEAD,NOT LEAD
4860 66 W IRVING PARK RD,SUSPECTED LEAD,NOT LEAD
4047 W NORTH AVE,SUSPECTED LEAD,NOT LEAD
2608 10 N DAYTON ST,SUSPECTED LEAD,NOT LEAD
4217 23 N LINCOLN AVE,SUSPECTED LEAD,NOT LEAD
2817 25 N ASHLAND AVE,SUSPECTED LEAD,NOT LEAD
1128 34 W NEWPORT AVE,SUSPECTED LEAD,NOT LEAD
3340 N BROADWAY,SUSPECTED LEAD,NOT LEAD
3639 N BROADWAY,SUSPECTED LEAD,NOT LEAD
700 02 W CORNELIA AVE,SUSPECTED LEAD,NOT LEAD
706 08 W CORNELIA AVE,SUSPECTED LEAD,NOT LEAD
730 32 W CORNELIA AVE,SUSPECTED LEAD,NOT LEAD
3827 29 N RAVENSWOOD AVE,SUSPECTED LEAD,NOT LEAD
344 48 W WELLINGTON AVE,SUSPECTED LEAD,NOT LEAD
537 W FULLERTON PKWY,SUSPECTED LEAD,NOT LEAD
5250 52 N CLARK ST,SUSPECTED LEAD,NOT LEAD
4615 23 N WINCHESTER AVE UNIT,SUSPECTED LEAD,NOT LEAD
4541 43 N WOLCOTT AVE UNIT,SUSPECTED LEAD,NOT LEAD
4606 08 N DOVER ST,SUSPECTED LEAD,NOT LEAD
5853 N BROADWAY,SUSPECTED LEAD,NOT LEAD
5103 05 N DAMEN AVE,SUSPECTED LEAD,NOT LEAD
5030 32 N WINCHESTER AVE,SUSPECTED LEAD,NOT LEAD
